Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
15.10.2021,36566399,98044,2423124,2533278,804035,3091630,3035799,1029262,2146355,513723,52384,580598,7000821,1139759,1373807,691076,661408,1887671,833179,1596826
22.10.2021,36232459,90793,2223083,2512974,750160,2841049,2951606,968218,2241654,499238,47694,575896,6986832,1178407,1486192,645057,608740,1825336,1097277,1536964
29.10.2021,38640941,93405,2304654,2614064,735539,2695440,3118189,1023018,2113071,545730,53154,759802,6852500,1257838,1321152,713938,534609,1959239,2989414,1647581
5.11.2021,39220528,91018,2192670,2640623,698021,2765667,2823985,1114203,2458772,523681,50831,743235,6840131,1215184,1308107,671101,663994,1902067,3239406,1666928
12.11.2021,39539026,102032,2296245,2631099,635784,4691507,3072296,1153037,2429842,459417,52116,543357,7499137,1222598,1402654,689764,701724,1945482,876947,1715021
19.11.2021,39751300,93215,2759412,2710038,623465,3262435,3055326,1112604,2500917,522775,53218,632090,7336333,1290895,1572193,687667,633753,2061208,1452668,1654942
26.11.2021,44005560,90118,2793812,2805993,640799,5212958,3448584,1140643,2753461,479044,53189,631489,8086762,1434153,1492469,691931,644248,1924246,1870957,1778367
3.12.2021,43856900,95504,2131801,2859669,686969,3313275,2956960,1112504,2903944,467756,51252,675637,7851919,1483017,1454680,728151,645679,1896277,3849392,1965435
10.12.2021,40218753,105090,2629509,2950729,689786,3080360,2940644,1167611,2388614,456454,56995,679336,8138419,1289362,1471723,826075,698826,1979438,888601,1781369
17.12.2021,44312562,99460,3078821,2974713,769167,3890364,3190517,1241944,2759539,509510,56752,752516,8460762,1523466,1695865,862832,704412,2010174,932053,2008096
24.12.2021,41546653,98300,2460032,2866756,779760,3640082,3411588,1208215,2512254,514620,53979,635637,8195395,1452778,1706758,742459,626374,1982950,1089420,1534068
31.12.2021,43668987,101462,2842353,3126292,986283,3201206,3293017,958385,2725096,594309,58078,676739,8401969,1320732,1712441,782252,611364,2177114,2022994,1390186
7.01.2022,36481815,95174,2818828,2638322,735835,2747154,2514596,1064908,2381916,528244,53558,425318,7385277,1018593,1464483,698824,699725,2093498,1069662,1199273
14.01.2022,37597105,109809,2725894,2772965,899618,3033863,2651529,1191126,2256453,442524,52539,384668,7696819,1076502,1569156,811079,627872,2019116,1112655,1256881
21.01.2022,40763362,92327,3102456,2876447,1085244,3088864,2833984,1263833,2382449,464498,57278,481994,8188751,1121742,1766663,846147,733597,2123860,1563043,1489423
28.01.2022,39456305,83999,2483137,2720925,1082571,2799618,2611285,1172356,2223191,473817,49174,521990,7777044,954581,1465159,809252,602382,1846900,3226161,1473069
4.02.2022,45863116,100446,3122116,3054736,1407969,3112820,2907748,1304938,2760566,574032,56075,747789,8271926,1199583,1624637,914241,738746,2216767,3976292,1834307
11.02.2022,44347192,113544,3402708,3249847,1063833,3671196,3132900,1466874,2751931,541452,62370,849528,8867753,1208072,1659642,910345,755282,2256700,913830,1797093
18.02.2022,46397608,102783,3262211,3220696,1312888,3570519,3097646,1642978,2966406,604545,69280,1084192,8876029,1304321,1921254,941107,809700,2489094,1296978,1821213
25.02.2022,47747717,100170,4364397,3184182,1387458,3524701,2939342,1766593,3195504,574047,66484,899513,8793878,1318012,1837711,877434,783424,2427102,1476242,1934175
4.03.2022,51927257,114258,4027639,3354182,1470938,3474919,3041950,2034741,3711440,614470,66138,838201,9458873,1488396,1838059,971050,832266,2446391,1991431,2388439
11.03.2022,52444506,124769,4666500,3655268,985631,3820603,3223787,2101275,3555179,606426,69393,879710,10795939,1481525,1802279,942444,856788,2447669,1116991,2213093
18.03.2022,49542311,114956,3446704,3529356,1026891,3741876,3168440,2076820,3245916,617914,64152,830100,9994486,1457822,1987816,975990,794815,2383837,1208890,1957911
25.03.2022,50812221,126973,4264627,3605258,984847,3557572,3352596,2006111,3051630,713469,72775,704331,10037760,1539709,1941702,990159,716254,2623731,1680706,1880324
1.04.2022,59564324,128825,4066555,3992992,1316834,3772327,3553154,2028662,3539176,767753,82334,592461,11145399,1910253,1984921,1043653,708636,3029296,5098064,2211825
